index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
39e1d22225dd4a91c9e59d584804b1cf,2025-11-12T04:34:51Z,'Vulkan Warnung',www.diepresse.com,de,0.1,Ein sterbendes Mädchen wurde zum Gesicht der Vulkankatastrophe von Armero [premium],Am 13. November 1985 zerstörte nach einem Ausbruch des Nevado del Ruiz eine Schlammlawine die kolumbianische Stadt Armero. Etwa 23.000 Menschen starben. Der tagelange Todeskampf der 13-jährigen Omayra Sánchez bewegte die Welt.,https://www.diepresse.com/20287446/ein-sterbendes-maedchen-wurde-zum-gesicht-der-vulkankatastrophe-von,https://img.diepresse.com/public/incoming/kt127i-sanchez.jpg/alternates/DPR_SOCIAL_MAGAZIN/sanchez.jpg,,"Zeitbombe nennt Ramon Antonio Rodriguez, Bürgermeister der kleinen kolumbianischen Stadt Armero, den Nevado del Ruiz. Ausbrüche des 5321 Meter hohen Vulkans töteten bereits in den Jahren 1595 und 184… [+5007 chars]",
6a70dfe704a35cc8687971c25f2c52fb,2025-11-13T16:43:55Z,'Vulkan ausgebrochen',www.morgenpost.de,de,0.8,„Vulnado“ tobt auf Hawaii – Aufnahme zeigt Naturschauspiel,"Der Kīlauea-Vulkan im Pazifik ist erneut ausgebrochen. Diesmal kam es zu einem spektakulären Naturereignis, das Beobachter filmen konnten.",https://www.morgenpost.de/panorama/article410447501/vulnado-tobt-auf-hawaii-aufnahme-zeigt-naturschauspiel.html,https://img.sparknews.funkemedien.de/410447382/410447382_1763052236_v16_9_1600.jpeg,,"Am vergangenen Wochenende sorgte der Klauea-Vulkan auf Hawaii für ein beeindruckendes Naturschauspiel: In direkter Nähe zu einem Lavaausbruch formte sich ein seltener Vulnado. Ein Phänomen, bei dem v… [+852 chars]",
093bab06279597143831077af6523afa,2025-11-17T09:21:57Z,'Vulkan ausgebrochen',www.welt.de,de,0.9,"Vulkan Sakurajima bricht in Japan aus, Aschewolken über Kagoshima",Auf der Vulkaninsel Sakurajima im Südwesten Japans ist erneut der Vulkan ausgebrochen. Der Minamidake-Krater schleuderte eine mehrere tausend Meter hohe Rauch- und Aschewolke in den Himmel.,https://www.welt.de/vermischtes/video691adbf4c7cd0ff6c6204068/minamidake-krater-vulkan-sakurajima-bricht-in-japan-aus-aschewolken-ueber-kagoshima.html,https://images.welt.de/691adbf4c7cd0ff6c6204068/7c80c9285cdaa18e0732de470fd43cdc/ci16x9-w1200/welttv-vulkan-png,,Die WELT als ePaper: Die vollständige Ausgabe steht Ihnen bereits am Vorabend zur Verfügung so sind Sie immer hochaktuell informiert. Weitere Informationen https://epaper.welt.de,
23e6aa852e863962487cb37e1e123d83,2025-11-10T10:27:29Z,'Vulkanausbruch',www.tagesschau.de,de,1.0,Wie sich Neapel auf einen Vulkanausbruch vorbereitet,"In Neapel hat am Sonntag wieder die Erde gebebt. Ein kleineres Beben, das vor allem dort zu spüren war, wo unter der Erde die Phlegräischen Felder liegen. Sie gelten als Supervulkan. Tilmann Kleinjung war bei einer Evakuierungsübung dabei.",https://www.tagesschau.de/ausland/europa/italien-vulkan-evakuierungsuebung-100.html,https://images.tagesschau.de/image/89f52365-fe63-48ff-9cdf-5340712cc3be/AAABmmyb5aw/AAABmgWmh8Q/16x9-big/solfatara-neapel-100.jpg?width=1280,,"Stand: 10.11.2025 11:27 Uhr
In Neapel hat am Sonntag wieder die Erde gebebt. Ein kleineres Beben, das vor allem dort zu spüren war, wo unter der Erde die Phlegräischen Felder liegen. Sie gelten als … [+4294 chars]",
