,summary,Mitigation,Impacts,Hazard,word
pass… insel+n,3.458174371678917,0.03186498999184025,0.10548591581958305,-0.06441714324312875,pass… insel+n
+5699,2.5411585029148522,0.023349852865356163,0.15543700885904188,-0.078655639452599,+5699
gleich+t +5699,2.5411585029148522,0.023349852865356163,0.15543700885904188,-0.078655639452599,gleich+t +5699
+5699 chars,2.531619012946652,0.023224476775121454,0.15609503152423773,-0.07884135490594346,+5699 chars
Magisches,2.7607204871970037,0.02596777334229644,0.14125186991004676,-0.0746401223223733,Magisches
Bali,6.80163696339077,0.03289161773478194,0.008654585548574506,-0.028046709365158948,Bali
magisch+es bali,2.7943830469364297,0.02632845095254587,0.13922633654056477,-0.07406487351550765,magisch+es bali
Mount,17.73726163522913,0.005703047873649776,-0.1156308525024675,0.03304143964578952,Mount
bali mount,2.816176495853486,0.02655680627664631,0.13793435088228298,-0.07369771033139508,bali mount
Batur,2.8393188476825,0.02679499877165744,0.13657865813364806,-0.07331224141941002,Batur
mount batur,2.8393188476825,0.02679499877165744,0.13657865813364806,-0.07331224141941002,mount batur
Reisterrassen,5.670070784961345,0.04040526628295852,0.03856349027256338,-0.04500345795811902,Reisterrassen
batur reis+terrasse+n,2.8682197855769753,0.02708642273192603,0.1349086161620954,-0.07283711031732876,batur reis+terrasse+n
Inseltraum,2.943488736634161,0.027815417469998154,0.13067454460391623,-0.07163111946688445,Inseltraum
reis+terrasse+n insel+traum,2.943488736634161,0.027815417469998154,0.13067454460391623,-0.07163111946688445,reis+terrasse+n insel+traum
Gili,3.0045627251422737,0.0283770118932597,0.1273556196508361,-0.07068441204970088,Gili
insel+traum gili,3.0045627251422737,0.0283770118932597,0.1273556196508361,-0.07068441204970088,insel+traum gili
Vergiss,4.283434656176717,0.036162195651256245,0.07478699209709162,-0.05554514903585069,Vergiss
gili vergis+s,3.035472170547518,0.028651636814653186,0.12571383893857524,-0.07021565905043439,gili vergis+s
Alltag,4.485133156048169,0.0369535982195114,0.0685530482998657,-0.053735077374149134,Alltag
vergis+s alltag,4.485133156048169,0.0369535982195114,0.0685530482998657,-0.053735077374149134,vergis+s alltag
Auf,55.43974713835176,0.03824809229512419,-0.16463810887412697,0.0235425627332992,Auf
alltag auf,4.6148865206407494,0.03742355417465665,0.0647495067100354,-0.052629604039631614,alltag auf
auf bali,4.263372350300419,0.036079061334386694,0.07542993170788935,-0.0557316948815775,auf bali
wartet,4.7860286327986685,0.03800187003865357,0.059958259016661526,-0.0512360306997016,wartet
bali wart+et,4.7860286327986685,0.03800187003865357,0.059958259016661526,-0.0512360306997016,bali wart+et
Leben,34.3965457504288,-0.040673317840727585,-0.2108197779382919,0.09093128099730494,Leben
wart+et leben,5.045028590869627,0.038797974448868615,0.053149466858767716,-0.04925396256183739,wart+et leben
Farben,5.316423713936428,0.039544520810332065,0.04652232804830165,-0.0473233064602676,Farben
leben farbe+n,5.316423713936428,0.039544520810332065,0.04652232804830165,-0.0473233064602676,leben farbe+n
nie,11.982672484124192,0.047206656513038625,-0.04135369565880278,-0.021840304192729997,nie
farbe+n nie,6.5393997656471505,0.04211335564528622,0.021623879142324907,-0.04006528548632795,farbe+n nie
gesehen,7.890665608737093,0.04401306222012668,0.0006435728667461437,-0.03395942702609546,gesehen
nie ge+seh+en,6.923423877093527,0.04272878628429809,0.015097396862791008,-0.038163970599489325,nie ge+seh+en
hast,8.117634841236752,0.044270549367957275,-0.0024025587638134365,-0.033074832412313036,hast
ge+seh+en hab+st,8.117634841236752,0.044270549367957275,-0.0024025587638134365,-0.033074832412313036,ge+seh+en hab+st
Vom,11.210562283436303,0.04677256077145766,-0.035050115952451735,-0.02364635993754628,Vom
Vulkanfeuer,13.017969582739545,0.047714725252605436,-0.049004546214527135,-0.01965606075382578,Vulkanfeuer
von vulkan+feuer,13.017969582739545,0.047714725252605436,-0.049004546214527135,-0.01965606075382578,von vulkan+feuer
türkisen,6.719843985352583,0.04241138586667255,0.018493624098519207,-0.039153214845967704,türkisen
vulkan+feuer türkisen,6.719843985352583,0.04241138586667255,0.018493624098519207,-0.039153214845967704,vulkan+feuer türkisen
Meer,11.140028590851024,-0.013577629591870826,-0.08853764136884262,0.03852679286260808,Meer
türkisen meer,6.038466096325184,0.04119081582539176,0.03097450857823467,-0.042790914545242205,türkisen meer
Gili-Inseln,5.582989086296356,0.04020386407095315,0.04045790468157522,-0.04555572419893615,Gili-Inseln
meer gili-insel+n,5.582989086296356,0.04020386407095315,0.04045790468157522,-0.04555572419893615,meer gili-insel+n
üppigen,5.018635815105686,0.03872082830057146,0.053820585809663736,-0.04944940401636176,üppigen
gili-insel+n üppig+en,5.018635815105686,0.03872082830057146,0.053820585809663736,-0.04944940401636176,gili-insel+n üppig+en
Grün,4.828498395747905,0.038138627311885,0.05880663975847292,-0.05090091791440105,Grün
üppig+en grün,4.828498395747905,0.038138627311885,0.05880663975847292,-0.05090091791440105,üppig+en grün
grün reis+terrasse+n,4.650368715297306,0.03754718744625298,0.06373570329220701,-0.05233482242995057,grün reis+terrasse+n
Gold,4.320167067721851,0.03631225060730357,0.07362089210310326,-0.05520674329793701,Gold
reis+terrasse+n gold,4.320167067721851,0.03631225060730357,0.07362089210310326,-0.05520674329793701,reis+terrasse+n gold
balinesischen,2.998634995084241,0.028323622915968582,0.12767334208286452,-0.07077509283369318,balinesischen
gold balinesisch+en,2.998634995084241,0.028323622915968582,0.12767334208286452,-0.07077509283369318,gold balinesisch+en
Tempel,2.923317453074531,0.02762417016233953,0.13179328850443106,-0.07194996383545856,Tempel
balinesisch+en tempel,2.923317453074531,0.02762417016233953,0.13179328850443106,-0.07194996383545856,balinesisch+en tempel
besten,5.489677697192313,0.03998066616602049,0.04253400187302095,-0.04616090675861352,besten
packst,2.908816561274216,0.02748485158521204,0.13260466498766643,-0.07218112155635338,packst
gut+esten pack+st,2.908816561274216,0.02748485158521204,0.13260466498766643,-0.07218112155635338,gut+esten pack+st
Koff…,2.998634995084241,0.028323622915968582,0.12767334208286452,-0.07077509283369318,Koff…
pack+st koff…,2.998634995084241,0.028323622915968582,0.12767334208286452,-0.07077509283369318,pack+st koff…
koff… vergis+s,3.035472170547518,0.028651636814653186,0.12571383893857524,-0.07021565905043439,koff… vergis+s
der…,3.02284618552609,0.028540213895633496,0.12638146949897627,-0.07040631276031381,der…
gold der…,3.02284618552609,0.028540213895633496,0.12638146949897627,-0.07040631276031381,gold der…
+503,2.987018365839866,0.02821830996073228,0.12829869836767127,-0.07095354297261171,+503
der… +503,2.987018365839866,0.02821830996073228,0.12829869836767127,-0.07095354297261171,der… +503
+503 chars,2.9592894207646134,0.027963192895612336,0.12980613945929215,-0.0713835273765125,+503 chars
Seit,45.09364893354139,0.01853260111683271,-0.1544362000350778,0.035136699552775,Seit
2023,15.343054554522437,0.04862955919191187,-0.06357291045711443,-0.01552336586527747,2023
seit 2023,14.618843511736927,0.0483722036642835,-0.059367674586459515,-0.016712509049844372,seit 2023
aktiv,20.878652181812186,0.04192072226676273,-0.09634491334889096,0.0002463408720821404,aktiv
2023 aktiv,10.949892148596472,0.04661334229968284,-0.032789832859078584,-0.02429528206150475,2023 aktiv
Indonesischer,17.183569133362855,0.049197878416661636,-0.07316941757437934,-0.012822048748219649,Indonesischer
aktiv indonesisch+er,9.972106347382113,0.04594750809254685,-0.023624518555182022,-0.026933193221166586,aktiv indonesisch+er
indonesisch+er vulkan,32.36449307441637,0.051690069326860696,-0.12068369636788165,0.00026117542564834225,indonesisch+er vulkan
spuckt,114.93968239754533,0.027641423551323385,-0.21076764511576102,0.04415268492759199,spuckt
vulkan spuck+t,32.50560610528077,0.05170406782882673,-0.12097669739379692,0.00034019070699193394,vulkan spuck+t
zehn,21.048868472864623,0.027429305790181446,-0.09497830521103026,0.010816185192283726,zehn
spuck+t zehn,12.431170692003986,0.047436141190163206,-0.04477208730188337,-0.020863284119236356,spuck+t zehn
Kilometer,64.41119224621295,-0.01003127344211954,-0.2130068270197535,0.07118962454629911,Kilometer
zehn kilo+meter,17.51592077114603,0.017570721355890336,-0.06995873069512511,0.010276547769158272,zehn kilo+meter
hohe,57.74945919513874,-0.06753741737404588,-0.27013756341049094,0.12230950873433637,hohe
kilo+meter hoch+e,29.056021088994495,-0.037339845137008686,-0.19537297711197726,0.08476863459504545,kilo+meter hoch+e
Aschesäule,35.53834864012509,0.016402416003195187,-0.13893047938300604,0.03219870845497895,Aschesäule
hoch+e asche+säule,16.42599197694578,0.04157733328803821,-0.0761337648693748,-0.005927249824957772,hoch+e asche+säule
Hier,34.984235590408346,0.0046374166670747115,-0.12244497664388557,0.035827965903799906,Hier
asche+säule hier,3.5894942657533906,0.032694057411975896,0.09992582376769575,-0.06281619832446307,asche+säule hier
finden,33.07178369158595,0.01061516847338418,-0.1374948624441925,0.03595920681454301,finden
hier find+en,31.18626602354409,0.02008948395648147,-0.12330146297485749,0.024895841916626905,hier find+en
Sie,108.63564925693612,0.00985722136979673,-0.21280249661240982,0.057390170546799485,Sie
find+en sie,32.12988822761008,0.02315158941912158,-0.1460258106746023,0.029344266087366077,find+en sie
Informationen,34.71122105724001,0.024328181850207017,-0.15102485401973942,0.029930547753632776,Informationen
sie information+en,33.05066487479613,0.023467171853639793,-0.14839609754093203,0.029800827976293288,sie information+en
Thema,47.30598015208373,0.026229218824952057,-0.16958460346476353,0.03384126607505032,Thema
information+en thema,47.30598015208373,0.026229218824952057,-0.16958460346476353,0.03384126607505032,information+en thema
thema seit,3.732900635658849,0.03352646400449796,0.09418254567359402,-0.061159553552575886,thema seit
Lesen,47.233171431023194,0.03166522761866496,-0.16439044796450872,0.028367762991442367,Lesen
les+en sie,43.971972594544624,0.02901108474290029,-0.1493315261043537,0.02599261270503952,les+en sie
sie indonesisch+er,4.725555774780553,0.03780262381469431,0.06162318264776364,-0.05172040875369097,sie indonesisch+er
Lewotobi,31.417510674670503,0.05410459539606239,-0.11242262944465092,-0.0041695928093199676,Lewotobi
vulkan lewotobi,26.83330924978128,0.05105205679985386,-0.10764386725279737,-0.0032770332061180935,vulkan lewotobi
Laki-Laki,25.209126715589218,0.05212789229067555,-0.09263799218726515,-0.0088463781938986,Laki-Laki
lewotobi laki-laki,25.209126715589218,0.05212789229067555,-0.09263799218726515,-0.0088463781938986,lewotobi laki-laki
indonesischen,46.33528792989424,-0.00025220360847426343,-0.19310790294924843,0.05920217630350972,indonesischen
laki-laki indonesisch+en,5.766104859318971,0.040620053169369626,0.03652062632894611,-0.04440788208342204,laki-laki indonesisch+en
Insel,72.15121997080426,-0.011815246697503973,-0.24695486167028166,0.08105032081997886,Insel
indonesisch+en insel,31.39251107250338,0.0015499761893426306,-0.16506781692208994,0.050258884042317445,indonesisch+en insel
Flores,14.589091562570468,0.033502379025562135,-0.04623588752458726,-0.009513194564605178,Flores
insel flore+s,10.331466019750803,0.02575833311174222,-0.04542433277557969,-0.0038641736956300608,insel flore+s
erneut,69.52679673064117,-0.00810122295351613,-0.16289014135365698,0.05637459599247692,erneut
flore+s erneut,8.467526382181312,-0.03018130147748269,0.02419516980631921,0.013344969944473373,flore+s erneut
ausgebrochen,164.82395225756204,-0.1467978705548107,-0.40025164988599626,0.194617952242556,ausgebrochen
erneut aus+ge+brech+en,45.58528044721693,-0.15418833835698484,-0.3423043379744166,0.1870519077705375,erneut aus+ge+brech+en
knapp,14.53258753532687,-0.032412195719268046,-0.13200292887821072,0.06421875619936139,knapp
der knapp,4.683047888011983,-0.032266226834583904,0.0032222255993182855,0.022041495416626155,der knapp
1.600,4.5483609696876925,-0.020986854145521136,0.017203705122659663,0.009256839187928483,1.600
knapp 1.600,4.5483609696876925,-0.020986854145521136,0.017203705122659663,0.009256839187928483,knapp 1.600
Meter,53.70056949823033,-0.031086084803711497,-0.23116241420331687,0.08986191589228718,Meter
1.600 meter,4.437773891998265,-0.013072223087769397,0.027659915816938475,-0.00013815064542518722,1.600 meter
meter hoch+e,33.56650120738839,-0.08698715680589661,-0.25265365752009467,0.12989873885529601,meter hoch+e
Feuerberg,21.74773603232842,0.022549504726398013,-0.11746771894858743,0.02133591615108036,Feuerberg
hoch+e feuer+berg,4.273761448533131,-0.0033522741600230644,0.041678351032674935,-0.012345145756132828,hoch+e feuer+berg
spuckte,10.915140926671453,0.03317017482195035,-0.028312159342513812,-0.015310628670970858,spuckte
feuer+berg spuck+te,4.1529699369560875,0.0024578860725179025,0.05104969914834109,-0.02015048098254153,feuer+berg spuck+te
spuck+te asche+säule,4.022430208442221,0.007644664882002469,0.06045507798711365,-0.027612414972609144,spuck+te asche+säule
asche+säule zehn,6.949000143373823,0.024179287943532086,0.04851742474482013,-0.03588939253863855,asche+säule zehn
hoch,24.409851522537306,-0.026782384999783672,-0.17213057288799274,0.07160588196673691,hoch
kilo+meter hoch,9.666434893154623,-0.07960984157751284,-0.13205166351297914,0.09461690061515109,kilo+meter hoch
Gip…,3.6436532630254326,0.017718554916063032,0.08495032127178347,-0.04486786402400542,Gip…
hoch gip…,3.6436532630254326,0.017718554916063032,0.08495032127178347,-0.04486786402400542,hoch gip…
+1703,3.67013988491013,0.023022755768321006,0.08817772674495063,-0.05033048473793656,+1703
gip… +1703,2.6784642908373746,0.014610573440623695,0.13797098070812602,-0.06408357861053111,gip… +1703
+1703 char+s,2.663371742576848,0.01493040994483594,0.13933936242588774,-0.06491931013430989,+1703 char+s
asche+säule der,6.886190427006143,0.04267214872329801,0.01570826147533608,-0.038341873579718785,asche+säule der
der lewotobi,7.596183371739479,0.05537300113384234,0.03300539942972579,-0.05507431147522862,der lewotobi
laki-laki flore+s,6.78120043212251,0.039668618614700946,0.07430164081512448,-0.05819503123024242,laki-laki flore+s
riesige,27.033974883860687,-0.06351658209500809,-0.16703863654131137,0.09406084409360532,riesige
erneut riesig+e,5.196521130116166,-0.0066993991104943,0.24390911773260948,-0.09510479820071945,erneut riesig+e
riesig+e asche+säule,13.432302016505785,-0.028661951110113017,-0.06001073284141214,0.040176237892447446,riesig+e asche+säule
Himmel,49.61064395971074,-0.03764796620116648,-0.18670063401782325,0.0826884394481255,Himmel
asche+säule himmel,10.034730026861265,-0.03275039347172938,0.1512419119826098,-0.03333529520876858,asche+säule himmel
geschleudert,6.8048676583937295,-0.0673530210551589,0.32536332740026,-0.08897762364139174,geschleudert
himmel ge+schleuder+t,6.8048676583937295,-0.0673530210551589,0.32536332740026,-0.08897762364139174,himmel ge+schleuder+t
nahe,13.16505195667715,-0.06662462888280284,0.3028680948844195,-0.07793167018044789,nahe
der nah+e,6.00666727498878,-0.18788474206369993,0.7244560675923328,-0.2770943014397589,der nah+e
Flughafen,158.4979899598169,-0.2695960346869214,0.7638549056756684,-0.25206097216801165,Flughafen
nah+e flug+hafen,6.737780921363664,-0.2985176266313559,0.9072349265480336,-0.38763372517794326,nah+e flug+hafen
